name;description;url
Motorvision TV;Motorvision TV es un canal para los amantes de los deportes a motor en todas sus formas. Revive carreras legendarias, admira autos espectaculares y disfruta de toda la acción hasta quedarte sin aliento.;https://pluto.tv/latam/live-tv/60e5ea9a9bb4200008376f76/details
The New Detectives;El trabajo de los forenses y expertos más distinguidos en criminalística mundial, reunido en un solo canal. Disfruta de las investigaciones más apasionantes y los casos más renombrados, en The New Detectives;https://pluto.tv/latam/live-tv/5ea71d48af1d0b0007d837f4/details
MTV Shore;Prepárate para vivir de fiesta con MTV Shore. Únete al grupo más descontrolado y disfruta junto a ellos de todas sus aventuras. Vuelve a ver los shows que amas y disfruta también de escenas inéditas. ¿Estás listo? Porque esto se va a desmadrar.;https://pluto.tv/latam/live-tv/61a52615cbef2500072876e2/details
MTV Ridiculousness;Quien haya hecho una buena broma, sabrá lo que significa MTV Ridiculousness, el canal donde las víctimas y los más bromistas conviven en perfecta armonía mientras miles de testigos no paran de reírse.;https://pluto.tv/latam/live-tv/5e98a911c881310007d7aae2/details
MTV Spankin' New;¡Lo escuchaste primero aquí! MTV SPANKIN’ NEW es el lugar para descubrir nuevos artistas antes de que se vuelvan estrellas. Las playlists con lo mejor, y lo más novedosos del Pop, Hip-Hop y de las bandas alternativas.;https://pluto.tv/latam/live-tv/6047fd723b5bd00007de7092/details
Chilevision Deportes;Chilevision Deportes es un canal de programación deportiva que combina la transmisión de eventos deportivos relevantes como la CONMEBOL Libertadores, archivos históricos y programas de noticias y opinión liderados por rostros referentes de la TV Chilena.;https://pluto.tv/latam/live-tv/638df6f8b63cf100075ccfa1/details
Chiquititas;Chiquititas la serie que fue un éxito vuelve las 24hs a Pluto TV para vos. Revive la historia del hogar Rincón de Luz y emociónate nuevamente como la primera vez.. Comparte sus sueños, sus canciones, y toda la magia.;https://pluto.tv/latam/live-tv/620e67a63b5e370007e06bb2/details
Kenan y Kel;Kenan sueña con hacerse rico y para eso siempre pide la ayuda de Kel. Pero en lugar de ayudarlo, él siempre complica las cosas. En este canal disfruta de las alocadas aventuras de Kenan y Kel.;https://pluto.tv/latam/live-tv/5fcea93ffcf94500071c4b2f/details
Los Padrinos Mágicos;Timmy es un chico común y corriente. Hasta que un día aparecen sus padrinos mágicos y su vida cambiará completamente. Cosmo y Wanda lo ayudarán con la tarea, a enfrentarse a la malvada niñera y juntos vivirán increíbles aventuras.;https://pluto.tv/latam/live-tv/6322099c822bbc00074857db/details
Azteca Internacional;Azteca Internacional es un canal con cobertura en toda Latinoamérica y el resto del mundo. Ofreciendo el mejor entretenimiento, noticias, telenovelas y series nuevas para toda la familia.;https://pluto.tv/latam/live-tv/646cce4d1593940008a33f09/details
Chilevision Contigo;Chilevisión Contigo llega a Pluto con los mejores y más exitosos contenidos de actualidad, magazine, viajes y entrevistas de Chilevisión. Este canal te acompañamos durante 24 horas, los 7 días de la semana con los rostros y programas más queridos de la TV;https://pluto.tv/latam/live-tv/62aa5740a47b6c000769f407/details
The Pet Collective;Animales y mascotas. Ciencia y amor. Emoción y humor. Todo eso y mucho más en The Pet Collective, el canal dedicado a los mejores amigos del planeta. Disfruta de los memes más divertidos y los momentos más emotivos protagonizados por animales.;https://pluto.tv/latam/live-tv/5ebacbcae43a6d000787b88e/details
La Selección;La selección cuenta la historia de Faustino Asprilla, Carlos ‘El Pibe’ Valderrama, René Higuita, Freddy Rincón e Iván René Valenciano. Haciendo énfasis en su vida, sus amores, sus familias, y en toda la pasión que los convirtió en héroes del fútbol.;https://pluto.tv/latam/live-tv/63211ba9cad976000794f988/details
Vive Kanal D Drama;Vive Kanal D Drama es el lugar donde encontrarás las mejores novelas turcas elegidas especialmente para ti. Prepárate para vivir historias sorprendentes llenas de amor, drama y pasión. Todo por Pluto TV.;https://pluto.tv/latam/live-tv/639751f81a36b400072b8f5a/details
Tokusato;Para los nostálgicos de los grandes clásicos de acción y aventura japonés. Heroes y villanos, en las icónicas series japonesas que marcaron historia. Hazte fan de Tokusato, en Pluto TV.;https://pluto.tv/latam/live-tv/5ff608e60e2996000768c366/details
Pluto TV Dramas Coreanos;Descubre los mejores shows de la TV coreana en un canal pensado exclusivamente para ti. Pluto TV Dramas Coreanos donde podrás sorprenderte viendo excelentes series de ciencia ficción, romance y hasta dramas de época. Todo en Pluto TV Dramas Coreanos.;https://pluto.tv/latam/live-tv/6185a9a88b2ce30007de5128/details
Pluto TV Cine Comedia;Si la risa es la mejor medicina, Pluto TV Cine Comedia es la cura para todos tus males. Prepárate para reírte sin parar, mientras disfrutas de las películas de comedia más hilarantes, delirantes y disparatadas de la historia.;https://pluto.tv/latam/live-tv/5dcdde78f080d900098550e4/details
Nickelodeon iCarly;Cuando Carly crea su show de internet llamado Icarly se vuelve famosa de la noche a la mañana. Con ayuda de sus amigos y su excéntrico hermano deberá aprender a lidiar con su fama mientras prepara nuevos episodios de su popular show.;https://pluto.tv/latam/live-tv/620ff0a01f9e8700076c6f9d/details
